"SearchText","Matches"
"3:10 to Yuma","3:10 to Yuma (1957 film)"
"3:10 to Yuma","3:10 to Yuma (2007 film)"
"30 Days of Night","30 Days of Night (film)"
"30 for 30","30 for 30"
"30 Minutes or Less","30 Minutes or Less"
"300","300 (film)"
"305","305 (film)"
"31","31 (film)"
"36 Hours","36 Hours (1965 film)"
"360","360 (film)"
"365 Days","365 Days (2020 film)"
"40 Year Old Virgin","40 Year Old Virgin"
"404","404 (film)"
"42","42 (film)"
"42nd Street","42nd Street (film)"
"47 Ronin","47 Ronin (2013 film)"
"47 Ronin","47 Ronin (1994 film)"
"499","499 (film)"
"49th Parallel","49th Parallel (film)"
"50 First Dates","50 First Dates"
"50/50","50/50 (2011 film)"
"51","51 (film)"
"54","54 (film)"
"6 Underground","6 Underground (film)"
"65","65 (film)"
"7 Seconds","7 Seconds (film)"
"8 Mile","8 Mile (film)"
"8 Million Ways to Die","8 Million Ways to Die"
"8 Seconds","8 Seconds"
"88","88 (film)"
"88 Minutes","88 Minutes"
"9","9 (2005 film)"
"9","9 (2009 animated film)"
"9/11","9/11 (2002 film)"
"92 in the Shade","92 in the Shade"
"99","99 (1918 film)"
"99","99 (2009 film)"
"99 Homes","99 Homes"
"A Beautiful Day in the Neighborhood","A Beautiful Day in the Neighborhood"
"A Beautiful Mind","A Beautiful Mind (film)"
"A Better Life","A Better Life"
"A Better Place","A Better Place"
"A Better Tomorrow","A Better Tomorrow (1986 film)"
"A Bigger Splash","A Bigger Splash (1973 film)"
"A Bigger Splash","A Bigger Splash (2015 film)"
"A Boy and His Dog","A Boy and His Dog (1946 film)"
"A Boy and His Dog","A Boy and His Dog"
"A Bridge Too Far","A Bridge Too Far (film)"
"A Brief History of Time","A Brief History of Time (film)"
"A Bucket of Blood","A Bucket of Blood"
"A Bucket of Blood","A Bucket of Blood (1995 film)"
"A Bug's Life","A Bug's Life"
"A Chorus Line","A Chorus Line (film)"
"A Christmas Carol","A Christmas Carol (1908 film)"
"A Christmas Carol","A Christmas Carol (1910 film)"
"A Christmas Carol","A Christmas Carol (1938 film)"
"A Christmas Carol","A Christmas Carol (1971 film)"
"A Christmas Carol","A Christmas Carol (1984 film)"
"A Christmas Carol","A Christmas Carol (1997 film)"
"A Christmas Carol","A Christmas Carol (1999 film)"
"A Christmas Carol","A Christmas Carol (2004 film)"
"A Christmas Carol","A Christmas Carol (2006 film)"
"A Christmas Carol","A Christmas Carol (2009 film)"
"A Christmas Carol","A Christmas Carol (miniseries)"
"A Christmas Story","A Christmas Story"
"A Cinderella Story","A Cinderella Story (film series)"
"A Cinderella Story","A Cinderella Story"
"A Civil Action","A Civil Action (film)"
"A Clockwork Orange","A Clockwork Orange (film)"
"A Common Thread","A Common Thread"
"A Cop Movie","A Cop Movie"
"A Cure for Wellness","A Cure for Wellness"
"A Damsel in Distress","A Damsel in Distress (1919 film)"
"A Damsel in Distress","A Damsel in Distress (1937 film)"
"A Day at the Beach","A Day at the Beach"
"A Detective Story","A Detective Story"
"A Dog's Journey","A Dog's Journey (film)"
"A Dog's Purpose","A Dog's Purpose (film)"
"A Double Life","A Double Life (1924 film)"
"A Double Life","A Double Life (1947 film)"
"A Double Life","A Double Life (1954 film)"
"A Face in the Crowd","A Face in the Crowd (film)"
"A Fantastic Woman","A Fantastic Woman"
"A Few Good Men","A Few Good Men"
"A Fish Called Wanda","A Fish Called Wanda"
"A Fistful of Dollars","A Fistful of Dollars"
"A Fistful of Fingers","A Fistful of Fingers"
"A Fool","A Fool"
"A Friend of Mine","A Friend of Mine (2011 film)"
"A Geisha","A Geisha"
"A Generation","A Generation"
"A Ghost Story","A Ghost Story"
"A Glitch in the Matrix","A Glitch in the Matrix"
"A Good Woman","A Good Woman (film)"
"A Good Year","A Good Year"
"A Goofy Movie","A Goofy Movie"
"A Great Day in Harlem","A Great Day in Harlem (film)"
"A Hard Day's Night","A Hard Day's Night (film)"
"A Haunted House","A Haunted House"
"A Hidden Life","A Hidden Life (2001 film)"
"A Hidden Life","A Hidden Life (2019 film)"
"A History of Violence","A History of Violence (film)"
"A Hole in the Wall","A Hole in the Wall (1930 film)"
"A Hole in the Wall","A Hole in the Wall (1950 film)"
"A Hole in the Wall","A Hole in the Wall (1982 film)"
"A Journal for Jordan","A Journal for Jordan"
"A Journey to the Center of the Earth","A Journey to the Center of the Earth (1977 film)"
"A Kid","A Kid"
"A League of Their Own","A League of Their Own"
"A Little Chaos","A Little Chaos"
"A Little Pond","A Little Pond"
"A Little Romance","A Little Romance"
"A Love Story","A Love Story (1933 film)"
"A Love Story","A Love Story (2007 film)"
"A Love Story","A Love Story (2016 film)"
"A Man and a Woman","A Man and a Woman"
"A Man Escaped","A Man Escaped"
"A Man for All Seasons","A Man for All Seasons (1966 film)"
"A Man for All Seasons","A Man for All Seasons (1988 film)"
"A Matter of Life and Death","A Matter of Life and Death (film)"
"A Matter of Time","A Matter of Time (film)"
"A Mighty Wind","A Mighty Wind"
"A Million Ways to Die in the West","A Million Ways to Die in the West"
"A Modern Marriage","A Modern Marriage"
"A Monster Calls","A Monster Calls (film)"
"A Most Violent Year","A Most Violent Year"
"A Movie","A Movie"
"A New Leaf","A New Leaf (film)"
"A New Life","A New Life (film)"
"A New Wave","A New Wave"
"A Night at the Garden","A Night at the Garden"
"A Night Out","A Night Out (1915 film)"
"A Night Out","A Night Out (1961 film)"
"A Nightmare on Elm Street","A Nightmare on Elm Street (franchise)"
"A Nightmare on Elm Street","A Nightmare on Elm Street"
"A Nightmare on Elm Street","A Nightmare on Elm Street (2010 film)"
"A Perfect Getaway","A Perfect Getaway"
"A Perfect Murder","A Perfect Murder"
"A Perfect World","A Perfect World"
"A Place to Go","A Place to Go"
"A Place to Live","A Place to Live (1941 film)"
"A Price Above Rubies","A Price Above Rubies"
"A Private Matter","A Private Matter"
"A Prophet","A Prophet"
"A Question of Taste","A Question of Taste"
"A Quiet Life","A Quiet Life"
"A Quiet Passion","A Quiet Passion"
"A Quiet Place","A Quiet Place (film series)"
"A Quiet Place","A Quiet Place"
"A Quiet Place Part II","A Quiet Place Part II"
"A Quiet Street","A Quiet Street"
"A Rainy Day in New York","A Rainy Day in New York"
"A River Runs Through It","A River Runs Through It (film)"
"A Room with a View","A Room with a View (1986 film)"
"A Room with a View","A Room with a View (2007 film)"
"A Safe Place","A Safe Place"
"A Scanner Darkly","A Scanner Darkly (film)"
"A Second Chance","A Second Chance (2014 film)"
"A Second Chance","A Second Chance (2015 film)"
"A Separation","A Separation"
"A Serbian Film","A Serbian Film"
"A Serious Man","A Serious Man"
"A Simple Favor","A Simple Favor (film)"
"A Simple Plan","A Simple Plan (film)"
"A Single Man","A Single Man"
"A Single Shot","A Single Shot"
"A Star Is Born","A Star Is Born (1937 film)"
"A Star Is Born","A Star Is Born (1954 film)"
"A Star Is Born","A Star Is Born (1976 film)"
"A Star Is Born","A Star Is Born (2018 film)"
"A State of Mind","A State of Mind"
"A Stranger Among Us","A Stranger Among Us"
"A Stray","A Stray"
"A Summer Place","A Summer Place (film)"
"A Tale of Two Sisters","A Tale of Two Sisters"
"A Taste of Honey","A Taste of Honey (film)"
"A Thousand Words","A Thousand Words (film)"
"A Time to Kill","A Time to Kill (1955 film)"
"A Time to Kill","A Time to Kill (1996 film)"
"A Trip to the Moon","A Trip to the Moon"
"A Useful Life","A Useful Life"
"A Very Murray Christmas","A Very Murray Christmas"
"A Very Short Life","A Very Short Life"
"A Vigilante","A Vigilante"
"A Viking Saga","A Viking Saga"
"A Visit","A Visit"
"A Voice in the Dark","A Voice in the Dark (film)"
"A Walk Among the Tombstones","A Walk Among the Tombstones (film)"
"A Walk in the Clouds","A Walk in the Clouds"
"A Way of Life","A Way of Life (2004 film)"
"A Way of Life","A Way of Life (2016 film)"
"A Wedding","A Wedding (1978 film)"
"A Wedding","A Wedding (2016 film)"
"A Woman","A Woman (1915 film)"
"A Woman Under the Influence","A Woman Under the Influence"
"A Wrinkle in Time","A Wrinkle in Time (2003 film)"
"A Wrinkle in Time","A Wrinkle in Time (2018 film)"
"Aah","Aah (film)"
"Aamir","Aamir (film)"
"Aan","Aan"
"Abandon","Abandon (film)"
"Abandoned","Abandoned (1949 film)"
"Abandoned","Abandoned (1955 film)"
"Abandoned","Abandoned (2001 film)"
"Abandoned","Abandoned (2010 film)"
"Abandoned","Abandoned (2019 film)"
"Abby","Abby (film)"
"Abduction","Abduction (1975 film)"
"Abduction","Abduction (2011 film)"
"Aberdeen","Aberdeen (2000 film)"
"Aberration","Aberration (film)"
"Abominable","Abominable (2006 film)"
"Abominable","Abominable (2019 film)"
"About a Boy","About a Boy (film)"
"About Adam","About Adam"
"About Last Night","About Last Night (1986 film)"
"About Last Night","About Last Night (2014 film)"
"About Time","About Time (1962 film)"
"About Time","About Time (2013 film)"
"Above Suspicion","Above Suspicion (1943 film)"
"Above Suspicion","Above Suspicion (1995 film)"
"Above the Rim","Above the Rim"
"Abraham","Abraham (1993 film)"
"Abraham Lincoln","Abraham Lincoln (1924 film)"
"Abraham Lincoln","Abraham Lincoln (1930 film)"
"Absence of Malice","Absence of Malice"
"Absolute Power","Absolute Power (film)"
"Academy","Academy (1996 film)"
"Academy","Academy (2007 film)"
"Acapulco","Acapulco (film)"
"Acapulco Gold","Acapulco Gold (film)"
"Acceleration","Acceleration (film)"
"Acceptance","Acceptance (film)"
"Accepted","Accepted"
"Accident","Accident (1928 film)"
"Accident","Accident (1967 film)"
"Accident","Accident (1976 film)"
"Accident","Accident (1985 film)"
"Accident","Accident (2008 film)"
"Accident","Accident (2009 film)"
"Accident","Accident (2012 film)"
"Accident","Accident (2013 film)"
"Accomplice","Accomplice (film)"
"Accused","Accused (1936 film)"
"Accused","Accused (1964 film)"
"Accused","Accused (2005 film)"
"Accused","Accused (2014 film)"
"Accused of Murder","Accused of Murder"
"Ace in the Hole","Ace in the Hole (1942 film)"
"Ace in the Hole","Ace in the Hole (1951 film)"
"Ace Ventura","Ace Ventura (franchise)"
"Acharya","Acharya (2022 film)"
"Acrimony","Acrimony (film)"
"Across the Bridge","Across the Bridge (film)"
"Across the Tracks","Across the Tracks"
"Across the Universe","Across the Universe (film)"
"Act of Vengeance","Act of Vengeance (1986 film)"
"Act of Violence","Act of Violence"
"Act of Violence","Act of Violence (1956 film)"
"Act of Violence","Act of Violence (1959 film)"
"Actor","Actor (1993 film)"
"Actor","Actor (2016 film)"
"Ad Astra","Ad Astra (film)"
"Ada","Ada (1961 film)"
"Ada","Ada (2019 film)"
"Adagio","Adagio (film)"
"Adam","Adam (1983 film)"
"Adam","Adam (1992 film)"
"Adam","Adam (2009 film)"
"Adam","Adam (2019 American film)"
"Adam","Adam (2019 Moroccan film)"
"Adam","Adam (2020 film)"
"Adam's Rib","Adam's Rib (1923 film)"
"Adam's Rib","Adam's Rib"
"Adam's Rib","Adam's Rib (1990 film)"
"Adam and Eve","Adam and Eve (1923 film)"
"Adam and Eve","Adam and Eve (1928 film)"
"Adam and Eve","Adam and Eve (1949 film)"
"Adam and Eve","Adam and Eve (1953 film)"
"Adam and Eve","Adam and Eve (1969 film)"
"Adama","Adama (film)"
"Adaptation","Adaptation (film)"
"Addicted","Addicted (2002 film)"
"Addicted","Addicted (2008 film)"
"Addiction","Addiction (film)"
"Adele","Adele (film)"
"Adharm","Adharm (1992 film)"
"Admiral","Admiral (2008 film)"
"Admission","Admission (film)"
"Admissions","Admissions (film)"
"Adopt a Highway","Adopt a Highway (film)"
"Adoption","Adoption (film)"
"Adoration","Adoration (1928 film)"
"Adoration","Adoration (2008 film)"
"Adoration","Adoration (2013 film)"
"Adoration","Adoration (2019 film)"
"Adore","Adore (film)"
"Adrenaline Rush","Adrenaline Rush (film)"
"Adrift","Adrift (1911 film)"
"Adrift","Adrift (2009 Brazilian film)"
"Adrift","Adrift (2009 Vietnamese film)"
"Adrift","Adrift (2018 film)"
"Adultery","Adultery (1945 film)"
"Adultery","Adultery (1989 film)"
"Adventure","Adventure (1925 film)"
"Adventure","Adventure (1945 film)"
"Adventure","Adventure (2011 film)"
"Adventureland","Adventureland (film)"
"Affairs of the Art","Affairs of the Art"
"Afflicted","Afflicted (film)"
"Affliction","Affliction (1996 film)"
"Affliction","Affliction (1997 film)"
"After","After (2009 film)"
"After","After (2012 film)"
"After","After (2019 film)"
"After All","After All (film)"
"After Death","After Death"
"After Earth","After Earth"
"After Everything","After Everything"
"After Hours","After Hours (film)"
"After Life","After Life (film)"
"After Midnight","After Midnight (1927 film)"
"After Midnight","After Midnight (1989 film)"
"After Midnight","After Midnight (2004 film)"
"After Midnight","After Midnight (2014 film)"
"After Midnight","After Midnight (2019 film)"
"After Office Hours","After Office Hours"
"After School","After School (1972 film)"
"After School","After School (2003 film)"
"After the Ball","After the Ball (1897 film)"
"After the Ball","After the Ball (1914 film)"
"After the Ball","After the Ball (1924 film)"
"After the Ball","After the Ball (1932 film)"
"After the Ball","After the Ball (1957 film)"
"After the Ball","After the Ball (2015 film)"
"After the Rain","After the Rain (film)"
"After the Show","After the Show (film)"
"After Tonight","After Tonight"
"After Yang","After Yang"
"Afterglow","Afterglow (film)"
"AfterLife","AfterLife (film)"
"Aftermath","Aftermath (1990 film)"
"Aftermath","Aftermath (1994 film)"
"Aftermath","Aftermath (2004 film)"
"Aftermath","Aftermath (2012 film)"
"Aftermath","Aftermath (2014 film)"
"Aftermath","Aftermath (2017 film)"
"Against All Odds","Against All Odds (1924 film)"
"Against All Odds","Against All Odds (1984 film)"
"Against All Odds","Against All Odds (2011 film)"
"Against the Dark","Against the Dark"
"Against the Wall","Against the Wall (1994 film)"
"Against the Wall","Against the Wall (2010 film)"
"Agatha","Agatha (film)"
"Agent Carter","Agent Carter (film)"
"Agnes","Agnes (film)"
"Agony","Agony (1981 film)"
"Agony","Agony (2020 film)"
"Agora","Agora (film)"
"Aguirre, the Wrath of God","Aguirre, the Wrath of God"
"Aida","Aida (1953 film)"
"Aida","Aida (1987 film)"
"Ain't Them Bodies Saints","Ain't Them Bodies Saints"
"Air Bud","Air Bud (series)"
"Air Bud","Air Bud"
"Air Force","Air Force (film)"
"Air Force One","Air Force One (film)"
"Airborne","Airborne (1962 film)"
"Airborne","Airborne (1993 film)"
"Airheads","Airheads"
"Airport","Airport (1970 film)"
"Airport","Airport (1993 film)"
"Airport","Airport (2009 film)"
"Aisha","Aisha (2010 film)"
"Ajay","Ajay (1996 film)"
"Ajay","Ajay (2006 film)"
"AKA","AKA (film)"
"Akira","Akira (1988 film)"
"Akira","Akira (2016 Hindi film)"
"Akira","Akira (2016 Kannada film)"
"Aks","Aks (2001 film)"
"Aks","Aks (2018 film)"
"Aladdin","Aladdin (1992 Golden Films film)"
"Aladdin","Aladdin (1992 Disney film)"
"Aladdin","Aladdin (2019 film)"
"Alai","Alai (film)"
"Alarm Bells","Alarm Bells"
"Alaska","Alaska (1944 film)"
"Alaska","Alaska (1996 film)"
"Albert","Albert (2016 film)"
"Albert Nobbs","Albert Nobbs"
"Alex Cross","Alex Cross (film)"
"Alexander","Alexander (1996 film)"
"Alexander","Alexander (2004 film)"
"Alexander","Alexander (2008 film)"
"Alexander Nevsky","Alexander Nevsky (film)"
"Alexander the Great","Alexander the Great (1956 film)"
"Alexander the Great","Alexander the Great (2010 film)"
"Alexander the Last","Alexander the Last"
"Alexandria","Alexandria (film)"
"Algiers","Algiers (film)"
"Ali","Ali (film)"
"Alibi","Alibi (1929 film)"
"Alibi","Alibi (1931 film)"
"Alibi","Alibi (1942 film)"
"Alibi","Alibi (1969 film)"
"Alice","Alice (1982 film)"
"Alice","Alice (1988 film)"
"Alice","Alice (1990 film)"
"Alice","Alice (2002 film)"
"Alice","Alice (2005 film)"
"Alice","Alice (2012 film)"
"Alice","Alice (2022 film)"
"Alice Doesn't Live Here Anymore","Alice Doesn't Live Here Anymore"
"Alice in Wonderland","Alice in Wonderland (1903 film)"
"Alice in Wonderland","Alice in Wonderland (1915 film)"
"Alice in Wonderland","Alice in Wonderland (1931 film)"
"Alice in Wonderland","Alice in Wonderland (1933 film)"
"Alice in Wonderland","Alice in Wonderland (1949 film)"
"Alice in Wonderland","Alice in Wonderland (1951 film)"
"Alice in Wonderland","Alice in Wonderland (1966 film)"
"Alice in Wonderland","Alice in Wonderland (1976 film)"
"Alice in Wonderland","Alice in Wonderland (1985 film)"
"Alice in Wonderland","Alice in Wonderland (1988 film)"
"Alice in Wonderland","Alice in Wonderland (1999 film)"
"Alice in Wonderland","Alice in Wonderland (2005 film)"
"Alice in Wonderland","Alice in Wonderland (2010 film)"
"Alicia","Alicia (film)"
"Alien","Alien (franchise)"
"Alien","Alien (film)"
"Alien 3","Alien 3"
"Alien Abduction","Alien Abduction (2005 film)"
"Alien Abduction","Alien Abduction (2014 film)"
"Alien Resurrection","Alien Resurrection"
"Aliens","Aliens (film)"
"Aliens of the Deep","Aliens of the Deep"
"Alive","Alive (1993 film)"
"Alive","Alive (2002 film)"
"Alive","Alive (2006 film)"
"Alive","Alive (2014 film)"
"Alive","Alive (2020 film)"
"All-Star Weekend","All-Star Weekend (film)"
"All About Eve","All About Eve"
"All About My Mother","All About My Mother"
"All About Steve","All About Steve"
"All Apologies","All Apologies (film)"
"All I Want","All I Want (film)"
"All Is Lost","All Is Lost (film)"
"All Is True","All Is True"
"All Is Well","All Is Well (2011 film)"
"All Is Well","All Is Well (2015 film)"
"All Is Well","All Is Well (2018 film)"
"All My Life","All My Life (1966 film)"
"All My Life","All My Life (2004 film)"
"All My Life","All My Life (2008 film)"
"All My Life","All My Life (2020 film)"
"All Night Long","All Night Long (1962 film)"
"All Night Long","All Night Long (1981 film)"
"All Night Long","All Night Long (1992 film)"
"All or Nothing","All or Nothing (film)"
"All Over Me","All Over Me (film)"
"All Quiet on the Western Front","All Quiet on the Western Front (1930 film)"
"All Quiet on the Western Front","All Quiet on the Western Front (1979 film)"
"All Quiet on the Western Front","All Quiet on the Western Front (2022 film)"
"All That Jazz","All That Jazz (film)"
"All the Bright Places","All the Bright Places (film)"
"All the King's Men","All the King's Men (1949 film)"
"All the King's Men","All the King's Men (1971 film)"
"All the King's Men","All the King's Men (1999 film)"
"All the King's Men","All the King's Men (2006 film)"
"All the Money in the World","All the Money in the World"
"All the President's Men","All the President's Men (film)"
"All the Pretty Horses","All the Pretty Horses (film)"
"All the Real Girls","All the Real Girls"
"All the Right Moves","All the Right Moves (film)"
"All These Women","All These Women"
"Allied","Allied (film)"
"Alligator","Alligator (film)"
"Almost Famous","Almost Famous"
"Almost Married","Almost Married (1919 film)"
"Almost Married","Almost Married (1932 film)"
"Almost Married","Almost Married (1942 film)"
"Almost There","Almost There (film)"
"Almost You","Almost You"
"Aloha","Aloha (2015 film)"
"Alone","Alone (1931 French film)"
"Alone","Alone (1931 Soviet film)"
"Alone","Alone (2004 film)"
"Alone","Alone (2007 film)"
"Alone","Alone (2008 film)"
"Alone","Alone (2015 Hindi film)"
"Alone","Alone (2015 Kannada film)"
"Alone","Alone (2020 horror film)"
"Alone","Alone (2020 thriller film)"
"Alone","Alone (2022 film)"
"Along Came Polly","Along Came Polly"
"Alpha","Alpha (2018 film)"
"Alpha","Alpha (2019 film)"
"Alpha and Omega","Alpha and Omega (film)"
"Alpha Dog","Alpha Dog"
"Alps","Alps (film)"
"Altar","Altar (film)"
"Altered","Altered (film)"
"Altered States","Altered States"
"Altitude","Altitude (film)"
"Altman","Altman (film)"
"Always","Always (1989 film)"
"Always","Always (2011 film)"
"Always Be My Maybe","Always Be My Maybe (2019 film)"
"Amadeus","Amadeus (film)"
"Amarcord","Amarcord"
"Amateur","Amateur (1994 film)"
"Amazing Grace","Amazing Grace (1974 film)"
"Amazing Grace","Amazing Grace (2006 film)"
"Amazing Grace","Amazing Grace (Aretha Franklin album)"
"Amazon","Amazon (1990 film)"
"Amazon","Amazon (1997 film)"
"Amazon","Amazon (2000 film)"
"Amazons","Amazons (1984 film)"
"Amazons","Amazons (1986 film)"
"Ambulance","Ambulance (2022 film)"
"Amelia","Amelia (film)"
"Amelia Earhart","Amelia Earhart (film)"
"Amen","Amen (2010 film)"
"Amen","Amen (2011 film)"
"Amen","Amen (2013 film)"
"Amen.","Amen."
"Amer","Amer (film)"
"America","America (1924 film)"
"America","America (2009 film)"
"America","America (2011 Puerto Rican film)"
"America's Sweethearts","America's Sweethearts"
"American Animals","American Animals"
"American Beauty","American Beauty (1927 film)"
"American Beauty","American Beauty (1999 film)"
"American Dharma","American Dharma"
"American Dream","American Dream (film)"
"American Gangster","American Gangster (film)"
"American Gigolo","American Gigolo"
"American Girl","American Girl (2002 film)"
"American Girl","American Girl (2021 film)"
"American Graffiti","American Graffiti"
"American Heart","American Heart (film)"
"American History X","American History X"
"American Honey","American Honey (film)"
"American Hustle","American Hustle"
"American Made","American Made (film)"
"American Me","American Me"
"American Movie","American Movie"
"American Pie","American Pie (film)"
"American Pop","American Pop"
"American Psycho","American Psycho (film)"
"American Sniper","American Sniper"
"American Utopia","American Utopia (film)"
"Americana","Americana (film)"
"Amigo","Amigo (film)"
"Amistad","Amistad (film)"
"Ammonite","Ammonite (film)"
"Amnesiac","Amnesiac (film)"
"Among the Living","Among the Living (1941 film)"
"Among the Living","Among the Living (2014 film)"
"Amour","Amour (1970 film)"
"Amour","Amour (2012 film)"
"Amsterdam","Amsterdam (2013 film)"
"Amsterdam","Amsterdam (2022 film)"
"Amulet","Amulet (film)"
"Amusement","Amusement (film)"
"Amy","Amy (1981 film)"
"Amy","Amy (1984 film)"
"Amy","Amy (1997 film)"
"Amy","Amy (2015 film)"
"An Affair","An Affair"
"An American Crime","An American Crime"
"An American in Paris","An American in Paris (film)"
"An American Pickle","An American Pickle"
"An American Tail","An American Tail"
"An Education","An Education"
"An Elephant Sitting Still","An Elephant Sitting Still"
"An Officer and a Spy","An Officer and a Spy (film)"
"An Open Heart","An Open Heart (film)"
"An Open Secret","An Open Secret"
"An Unmarried Woman","An Unmarried Woman"
"Anaconda","Anaconda (film series)"
"Anaconda","Anaconda (film)"
"Analyze That","Analyze That"
"Analyze This","Analyze This"
"Anamorph","Anamorph (film)"
"Anastasia","Anastasia (1956 film)"
"Anastasia","Anastasia (1997 film)"
"Anatomy","Anatomy (film)"
"Anatomy of a Murder","Anatomy of a Murder"
"And Everything is Going Fine","And Everything is Going Fine"
"And Then There Were None","And Then There Were None (1945 film)"
"And Then There Were None","And Then There Were None (1974 film)"
"And Then There Were None","And Then There Were None (1987 film)"
"Andre","Andre (film)"
"Andrei Rublev","Andrei Rublev (film)"
"Android","Android (film)"
"Angel","Angel (1937 film)"
"Angel","Angel (1966 film)"
"Angel","Angel (1982 Greek film)"
"Angel","Angel (1982 Irish film)"
"Angel","Angel (1984 film)"
"Angel","Angel (1987 film)"
"Angel","Angel (2007 film)"
"Angel","Angel (2009 film)"
"Angel","Angel (2011 film)"
"Angel Has Fallen","Angel Has Fallen"
"Angela","Angela (1978 film)"
"Angela","Angela (1995 film)"
"Angels","Angels (1990 film)"
"Angels","Angels (2007 film)"
"Angels in the Outfield","Angels in the Outfield (1951 film)"
"Angels in the Outfield","Angels in the Outfield (1994 film)"
"Anger Management","Anger Management (film)"
"Angie","Angie (1993 film)"
"Angie","Angie (1994 film)"
"Angst","Angst (1928 film)"
"Angst","Angst (1976 film)"
"Angst","Angst (1983 film)"
"Angst","Angst (2000 film)"
"Angst","Angst (2003 film)"
"Anguish","Anguish (1987 film)"
"Angus","Angus (film)"
"Animal","Animal (1977 film)"
"Animal","Animal (2001 film)"
"Animal","Animal (2005 film)"
"Animal","Animal (2014 film)"
"Animal Crackers","Animal Crackers (1930 film)"
"Animal Crackers","Animal Crackers (2017 film)"
"Animal Farm","Animal Farm (1954 film)"
"Animal Farm","Animal Farm (1999 film)"
"Animal House","Animal House"
"Animal Kingdom","Animal Kingdom (film)"
"Anjali","Anjali (1977 film)"
"Anjali","Anjali (1990 film)"
"Anna","Anna (1951 film)"
"Anna","Anna (1964 film)"
"Anna","Anna (1967 film)"
"Anna","Anna (1987 film)"
"Anna Karenina","Anna Karenina (1911 film)"
"Anna Karenina","Anna Karenina (1914 film)"
"Anna Karenina","Anna Karenina (1915 film)"
"Anna Karenina","Anna Karenina (1918 film)"
"Anna Karenina","Anna Karenina (1920 film)"
"Anna Karenina","Anna Karenina (1935 film)"
"Anna Karenina","Anna Karenina (1948 film)"
"Anna Karenina","Anna Karenina (1953 film)"
"Anna Karenina","Anna Karenina (1961 film)"
"Anna Karenina","Anna Karenina (1967 film)"
"Anna Karenina","Anna Karenina (1975 film)"
"Anna Karenina","Anna Karenina (1985 film)"
"Anna Karenina","Anna Karenina (1997 film)"
"Anna Karenina","Anna Karenina (2012 film)"
"Annabelle","Annabelle (film)"
"Annabelle Comes Home","Annabelle Comes Home"
"Annapolis","Annapolis (2006 film)"
"Annette","Annette (film)"
"Annie","Annie (1976 film)"
"Annie","Annie (1982 film)"
"Annie","Annie (1999 film)"
"Annie","Annie (2014 film)"
"Annie Hall","Annie Hall"
"Annihilation","Annihilation (film)"
"Anon","Anon (film)"
"Anonymous","Anonymous (2011 film)"
"Another","Another (film)"
"Another Day in Paradise","Another Day in Paradise (film)"
"Another Round","Another Round (film)"
"Another Woman","Another Woman (1988 film)"
