"SearchText","Matches"
"1","1 (2009 film)"
"1","1 (2013 film)"
"10","10 (film)"
"10 Cloverfield Lane","10 Cloverfield Lane"
"10 Things I Hate About You","10 Things I Hate About You"
"10 Years","10 Years (2011 film)"
"10 Years Later","10 Years Later (TV series)"
"100 Days","100 Days (1991 film)"
"100 Feet","100 Feet (film)"
"100 Years","100 Years (film)"
"101 Dalmatians","101 Dalmatians (1996 film)"
"12","12 (2003 film)"
"12","12 (2007 film)"
"12 Angry Men","12 Angry Men (1957 film)"
"12 Angry Men","12 Angry Men (1997 film)"
"12 Monkeys","12 Monkeys (film)"
"12 Strong","12 Strong"
"12 Years a Slave","12 Years a Slave (film)"
"12 Years A Slave","12 Years A Slave (film)"
"12:01","12:01 (1993 film)"
"120","120 (film)"
"122","122 (film)"
"127 Hours","127 Hours"
"13","13 (2010 film)"
"13","13 (2022 film)"
"13 Going on 30","13 Going on 30"
"13th","13th (film)"
"1408","1408 (film)"
"15","15 (film)"
"15 Minutes","15 Minutes"
"16 Blocks","16 Blocks"
"19","19 (film)"
"1900","1900 (film)"
"1915","1915 (film)"
"1917","1917 (1970 film)"
"1917","1917 (2019 film)"
"1920","1920 (film series)"
"1920","1920 (film)"
"1921","1921 (2018 film)"
"1922","1922 (2017 film)"
"1941","1941 (film)"
"1945","1945 (2017 film)"
"1969","1969 (film)"
"1971","1971 (2007 film)"
"1983","1983 (film)"
"1984","1984 (1956 film)"
"1985","1985 (film)"
"1987","1987 (film)"
"2 Days in the Valley","2 Days in the Valley"
"2 Fast 2 Furious","2 Fast 2 Furious"
"2 Guns","2 Guns"
"20 Feet From Stardom","20 Feet From Stardom"
"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea (1916 film)"
"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea (1954 film)"
"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea (1997 Hallmark film)"
"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea (1997 Village Roadshow film)"
"200 Cigarettes","200 Cigarettes"
"200 Motels","200 Motels"
"2010","2010 (film)"
"2012","2012 (film)"
"2046","2046 (film)"
"2050","2050 (film)"
"21","21 (2008 film)"
"21 Grams","21 Grams"
"21 Jump Street","21 Jump Street (film)"
"211","211 (film)"
"22 Jump Street","22 Jump Street"
"23","23 (film)"
"24 Frames","24 Frames (film)"
"24 Hour Party People","24 Hour Party People"
"25th Hour","25th Hour"
"28 Days","28 Days (film)"
"28 Days Later","28 Days Later"
"28 Weeks Later","28 Weeks Later"
