"name"
"Geraldine Fitzgerald"
"Louise Fletcher"
"Nina Foch"
"Henry Fonda"
"Jane Fonda"
"Peter Fonda"
"Joan Fontaine"
"Lynn Fontanne"
"Harrison Ford"
"Frederic Forrest"
"Robert Forster"
"Jodie Foster"
"Jamie Foxx"
"Anthony Franciosa"
"James Franco"
"Brendan Fraser"
"Morgan Freeman"
"Leonard Frey"
"Brenda Fricker"
"Clark Gable"
"Lady Gaga"
"Greta Garbo"
"Andy García"
"Vincent Gardenia"
"Ava Gardner"
"Andrew Garfield"
"John Garfield"
"William Gargan"
"Judy Garland"
"James Garner"
"Teri Garr"
"Greer Garson"
"Janet Gaynor"
"Michael V. Gazzo"
"Leo Genn"
"Chief Dan George"
"Gladys George"
"Paul Giamatti"
"Giancarlo Giannini"
"John Gielgud"
"Jack Gilford"
"Lillian Gish"
"Jackie Gleason"
"James Gleason"
"Brendan Gleeson"
"Paulette Goddard"
"Whoopi Goldberg"
"Thomas Gomez"
"Cuba Gooding Jr."
"Dexter Gordon"
"Ruth Gordon"
"Ryan Gosling"
"Louis Gossett Jr."
"Elliott Gould"
"Gloria Grahame"
"Cary Grant"
"Lee Grant"
"Richard E. Grant"
"Bonita Granville"
"Graham Greene"
"Sydney Greenstreet"
"Joel Grey"
"Corinne Griffith"
"Hugh Griffith"
"Melanie Griffith"
"Rachel Griffiths"
"Alec Guinness"
"Edmund Gwenn"
"Jake Gyllenhaal"
"Maggie Gyllenhaal"
"Joan Hackett"
"Gene Hackman"
"Jean Hagen"
"Jackie Earle Haley"
"Grayson Hall"
"Tom Hanks"
"Marcia Gay Harden"
"Ann Harding"
"Tom Hardy"
"Tess Harper"
"Woody Harrelson"
"Barbara Harris"
"Ed Harris"
"Julie Harris"
"Naomie Harris"
"Richard Harris"
"Rosemary Harris"
"Rex Harrison"
"Elizabeth Hartman"
"Laurence Harvey"
"Anne Hathaway"
"Ethan Hawke"
"John Hawkes"
"Sally Hawkins"
"Goldie Hawn"
"Nigel Hawthorne"
"Sessue Hayakawa"
"Salma Hayek"
"Helen Hayes"
"Susan Hayward"
"Eileen Heckart"
"Lucas Hedges"
"Van Heflin"
"Mariel Hemingway"
"Brian Tyree Henry"
"Justin Henry"
"Taraji P. Henson"
"Audrey Hepburn"
"Katharine Hepburn"
"Barbara Hershey"
"Charlton Heston"
"William Hickey"
"Jonah Hill"
"Wendy Hiller"
"Ciarán Hinds"
"Judd Hirsch"
"Dustin Hoffman"
"Philip Seymour Hoffman"
"Hal Holbrook"
"William Holden"
"Judy Holliday"
"Stanley Holloway"
"Celeste Holm"
"Ian Holm"
"Oskar Homolka"
"Anthony Hopkins"
"Miriam Hopkins"
"Dennis Hopper"
"Bob Hoskins"
"Djimon Hounsou"
"John Houseman"
"Leslie Howard"
"Terrence Howard"
"Trevor Howard"
"Stephanie Hsu"
"Jennifer Hudson"
"Kate Hudson"
"Rock Hudson"
"Felicity Huffman"
"Tom Hulce"
"Josephine Hull"
"Arthur Hunnicutt"
"Helen Hunt"
"Linda Hunt"
"Holly Hunter"
"Kim Hunter"
"Isabelle Huppert"
"John Hurt"
"William Hurt"
"Ruth Hussey"
"Anjelica Huston"
"John Huston"
"Walter Huston"
"Timothy Hutton"
"Martha Hyer"
"John Ireland"
"Jeremy Irons"
"Amy Irving"
"Burl Ives"
"Hugh Jackman"
"Glenda Jackson"
"Samuel L. Jackson"
"Richard Jaeckel"
"Sam Jaffe"
"Dean Jagger"
"Allison Janney"
"Emil Jannings"
"Marianne Jean-Baptiste"
"Richard Jenkins"
"Scarlett Johansson"
"Glynis Johns"
"Ben Johnson"
"Celia Johnson"
"Angelina Jolie"
"Carolyn Jones"
"Felicity Jones"
"James Earl Jones"
"Jennifer Jones"
"Shirley Jones"
"Tommy Lee Jones"
"Katy Jurado"
"Madeline Kahn"
"Daniel Kaluuya"
